Value,Label
"MAZURKA","MAZURKA"
"MEIVELD","MEIVELD"
"MENDELSOHNSTRAAT","MENDELSOHNSTRAAT"
"MGR. ELLISSTRAAT","MGR. ELLISSTRAAT"
"MGR. P.I. VERRIETSTRAAT","MGR. P.I. VERRIETSTRAAT"
"MGR.M.J.NIEUWINDTSTRAAT.","MGR.M.J.NIEUWINDTSTRAAT."
"MGR.M.J.NIEWINDTSTRAAT","MGR.M.J.NIEWINDTSTRAAT"
"MGR.P.I. VERRIETSTRAAT","MGR.P.I. VERRIETSTRAAT"
"MIDDENWEG","MIDDENWEG"
"MILONSTRAAT","MILONSTRAAT"
"MIRA LA MAR","MIRA LA MAR"
"MIRAFLORWEG","MIRAFLORWEG"
"MISPELSTRAAT","MISPELSTRAAT"
"MISSISSIPPISTRAAT","MISSISSIPPISTRAAT"
"MISSOURISTRAAT","MISSOURISTRAAT"
"MODANZA","MODANZA"
"MOHIKANENSTRAAT","MOHIKANENSTRAAT"
"MOKO","MOKO"
"MON POS","MON POS"
"MONS ELLISSTRAAT","MONS ELLISSTRAAT"
"MONS NIEUWINDTSTRAAT","MONS NIEUWINDTSTRAAT"
"MONSERAT","MONSERAT"
"MONT CARETAWEG","MONT CARETAWEG"
"MONT O'REILLYWEG","MONT O'REILLYWEG"
"MONT PELEESTRAAT","MONT PELEESTRAAT"
"MONTA?A","MONTA?A"
"MONTANA","MONTANA"
"MONTANJA","MONTANJA"
"MONTE VERDE","MONTE VERDE"
"MORGENSTER","MORGENSTER"
"MOUNT SCENERYSTRAAT","MOUNT SCENERYSTRAAT"
"MOZARTSTRAAT","MOZARTSTRAAT"
"NAYOSTRAAT","NAYOSTRAAT"
"NEPTUNESSTRAAT","NEPTUNESSTRAAT"
"NEWTONSTRAAT","NEWTONSTRAAT"
"NICARAGUASTRAAT","NICARAGUASTRAAT"
"NIEUWE WEG","NIEUWE WEG"
"NIEUWKERKSTRAAT","NIEUWKERKSTRAAT"
"NIEUWSTRAAT","NIEUWSTRAAT"
"NIJHOFFSTRAAT","NIJHOFFSTRAAT"
"NOBELSTRAAT","NOBELSTRAAT"
"NOGUERASTRAAT","NOGUERASTRAAT"
"NOORD","NOORD"
"NOORD BONA VISTA","NOORD BONA VISTA"
"NOORD CURA CABAI","NOORD CURA CABAI"
"NU?A","NU?A"
"NUNE","NUNE"
"NUYENSTRAAT","NUYENSTRAAT"
"OHMSTRAAT","OHMSTRAAT"
"OLDENBARNEVELDSTRAAT","OLDENBARNEVELDSTRAAT"
"OLIJFISTRAAT","OLIJFISTRAAT"
"OOSTENBERGWEG","OOSTENBERGWEG"
"OOSTSTRAAT","OOSTSTRAAT"
"OPAL","OPAL"
"ORANJESTRAAT","ORANJESTRAAT"
"ORCUYO","ORCUYO"
"ORINOCOSTRAAT","ORINOCOSTRAAT"
"OTAHEITISTRAAT","OTAHEITISTRAAT"
"OUDE SCHOOLSTRAAT","OUDE SCHOOLSTRAAT"
"P C HOOFTSTRAAT","P C HOOFTSTRAAT"
"P.C. HOOFTSTRAAT","P.C. HOOFTSTRAAT"
"PAGAAISTRAAT","PAGAAISTRAAT"
"PAGAISTRAAT","PAGAISTRAAT"
"PALISIAWEG","PALISIAWEG"
"PALM BEACH","PALM BEACH"
"PALMA REAL","PALMA REAL"
"PALMITASTRAAT","PALMITASTRAAT"
"PALO DI BOONCHISTRAAT","PALO DI BOONCHISTRAAT"
"PALO DI LECHISTRAAT","PALO DI LECHISTRAAT"
"PALU DI BOONCHISTRAAT","PALU DI BOONCHISTRAAT"
"PALU DI LECHISTRAAT","PALU DI LECHISTRAAT"
"PAMPOENASTRAAT","PAMPOENASTRAAT"
"PAMPUNASTRAAT","PAMPUNASTRAAT"
"PANAMASTRAAT","PANAMASTRAAT"
"PAPAYA","PAPAYA"
"PAPAYASTRAAT","PAPAYASTRAAT"
"PAPILON","PAPILON"
"PARADERA","PARADERA"
"PARADIJS","PARADIJS"
"PARADIJSHEUVELSTRAAT","PARADIJSHEUVELSTRAAT"
"PARADIJSWIJK","PARADIJSWIJK"
"PARAGUANA","PARAGUANA"
"PARAGUAYSTRAAT","PARAGUAYSTRAAT"
"PARAMIRA","PARAMIRA"
"PARISH HILLWEG","PARISH HILLWEG"
"PARKIETENBOS","PARKIETENBOS"
"PASCALLSTRAAT","PASCALLSTRAAT"
"PASCALSTRAAT","PASCALSTRAAT"
"PASTEURSTRAAT","PASTEURSTRAAT"
"PASTOOR HELLINGSTRAAT","PASTOOR HELLINGSTRAAT"
"PASTOOR HENDRIKSTRAAT","PASTOOR HENDRIKSTRAAT"
"PASTOOR PENNINXSTRAAT","PASTOOR PENNINXSTRAAT"
"PATIASTRAAT","PATIASTRAAT"
"PAVIA","PAVIA"
"PAVIAPARK","PAVIAPARK"
"PAVILLA","PAVILLA"
"PAVILLA PARK","PAVILLA PARK"
"PEDRO GALLEGOSTRAAT","PEDRO GALLEGOSTRAAT"
"PEKININI","PEKININI"
"PERKIETENBOS","PERKIETENBOS"
"PERUSTRAAT","PERUSTRAAT"
"PICARON","PICARON"
"PIEDRA PLAT","PIEDRA PLAT"
"PIERRE CORNEILLESTRAAT","PIERRE CORNEILLESTRAAT"
"PIETER BOERSTRAAT","PIETER BOERSTRAAT"
"PIETER BRUEGHELSTRAAT","PIETER BRUEGHELSTRAAT"
"PINDASTRAAT","PINDASTRAAT"
"PITASTRAAT","PITASTRAAT"
"PLANTERSRUST","PLANTERSRUST"
"PLAZA BETICO CROES","PLAZA BETICO CROES"
"PONTON","PONTON"
"PORRIERSTRAAT","PORRIERSTRAAT"
"POS ABAO","POS ABAO"
"POS ABOU","POS ABOU"
"POS CHIKITO","POS CHIKITO"
"POS CHIKITO COMPLEX","POS CHIKITO COMPLEX"
"POS CHIQUITO","POS CHIQUITO"
"POS CHIQUITO COMPLEX","POS CHIQUITO COMPLEX"
"POTREROWEG","POTREROWEG"
"PRIMAVERA","PRIMAVERA"
"PRINSENSTRAAT","PRINSENSTRAAT"
"PROF LORENTZSTRAAT","PROF LORENTZSTRAAT"
"PROF. LORENTZSTRAAT","PROF. LORENTZSTRAAT"
"PURUN","PURUN"
"QUASTSTRAAT","QUASTSTRAAT"
"QUILLSTRAAT","QUILLSTRAAT"
"RANCHOSTRAAT","RANCHOSTRAAT"
"RASMIJNSTRAAT","RASMIJNSTRAAT"
"RASPASTRAAT","RASPASTRAAT"
"REAMURSTRAAT","REAMURSTRAAT"
"REAUMURSTRAAT","REAUMURSTRAAT"
"RED ROCKWEG","RED ROCKWEG"
"REMBRANDTSTRAAT","REMBRANDTSTRAAT"
"RESEDASTRAAT","RESEDASTRAAT"
"RESPET","RESPET"
"RONCADO","RONCADO"
"RONDE KLIPWEG","RONDE KLIPWEG"
"RONDWEG","RONDWEG"
"RONTGENSTRAAT","RONTGENSTRAAT"
"ROOI AFO","ROOI AFO"
"ROOI BOSAL","ROOI BOSAL"
"ROOI CONGO","ROOI CONGO"
"ROOI KOCHI","ROOI KOCHI"
"ROOI KOOCHI","ROOI KOOCHI"
"ROOI LAMOENCHI","ROOI LAMOENCHI"
"ROOI LAMUNCHI","ROOI LAMUNCHI"
"ROOI MASTER","ROOI MASTER"
"ROOI PRIKICHI","ROOI PRIKICHI"
"ROOI SANTO","ROOI SANTO"
"ROOI TAKI","ROOI TAKI"
"ROOIWEG","ROOIWEG"
"ROTTERDAMSTRAAT","ROTTERDAMSTRAAT"
"ROZENSTRAAT","ROZENSTRAAT"
"RUBY","RUBY"
"RUDOLF ARENDSSTRAAT","RUDOLF ARENDSSTRAAT"
"RUMBASTRAAT","RUMBASTRAAT"
"RUYSDAELSTRAAT","RUYSDAELSTRAAT"
"SABANA BASORA","SABANA BASORA"
"SABANA BASORA NOORD","SABANA BASORA NOORD"
"SABANA BLANCO","SABANA BLANCO"
"SABANA BLANCO Z/N","SABANA BLANCO Z/N"
"SABANA GRANDI","SABANA GRANDI"
"SABANA LIBER","SABANA LIBER"
"SABANA LIBRE","SABANA LIBRE"
"SABANIA ABOU","SABANIA ABOU"
"SABANILLA ABAO","SABANILLA ABAO"
"SABASTRAAT","SABASTRAAT"
"SAFIR","SAFIR"
"SALI?A","SALI?A"
"SALI?A CERCA","SALI?A CERCA"
"SALINJA","SALINJA"
"SALINJA CERCA","SALINJA CERCA"
"SAN BARBOLA","SAN BARBOLA"
"SAN FUEGO","SAN FUEGO"
"SAN MIGUEL","SAN MIGUEL"
"SANTA CRUZ","SANTA CRUZ"
"SANTA HELENASTRAAT","SANTA HELENASTRAAT"
"SANTA LUCIA","SANTA LUCIA"
"SANTA MARTHA","SANTA MARTHA"
"SANTO DI PATIA","SANTO DI PATIA"
"SAVANETA","SAVANETA"
"SCHELPSTRAAT","SCHELPSTRAAT"
"SCHOENERSTRAAT","SCHOENERSTRAAT"
"SCHOOLSTRAAT","SCHOOLSTRAAT"
"SCHOTLANDSTRAAT","SCHOTLANDSTRAAT"
"SCHREUDERSTRAAT","SCHREUDERSTRAAT"
"SCHUBERTSTRAAT","SCHUBERTSTRAAT"
"SCHUMANSTRAAT","SCHUMANSTRAAT"
"SCOBILLOSTRAAT","SCOBILLOSTRAAT"
"SCOBIYOSTRAAT","SCOBIYOSTRAAT"
"SCOPAPELSTRAAT","SCOPAPELSTRAAT"
"SCOPETSTRAAT","SCOPETSTRAAT"
"SEMELEERSTRAAT","SEMELEERSTRAAT"
"SEMINOLENSTRAAT","SEMINOLENSTRAAT"
"SENEBLAR","SENEBLAR"
"SENTRY HILLWEG","SENTRY HILLWEG"
"SERO ALEJANDRO","SERO ALEJANDRO"
"SERO BENTANAWEG","SERO BENTANAWEG"
"SERO BIENTO","SERO BIENTO"
"SERO BLANCO","SERO BLANCO"
"SERO COLORADO","SERO COLORADO"
"SERO COLORADO TRAILER","SERO COLORADO TRAILER"
"SERO COMPA","SERO COMPA"
"SERO DAKWEWEG","SERO DAKWEWEG"
"SERO DOS POSWEG","SERO DOS POSWEG"
"SERO GRANDIWEG","SERO GRANDIWEG"
"SERO JANCHI","SERO JANCHI"
"SERO LARGOWEG","SERO LARGOWEG"
"SERO LOPEZ","SERO LOPEZ"
"SERO PADUA ","SERO PADUA "
"SERO PATRISHI","SERO PATRISHI"
"SERO PELA","SERO PELA"
"SERO PITA","SERO PITA"
"SERO PRETO PAR.","SERO PRETO PAR."
"SERO PRETO PARADERA","SERO PRETO PARADERA"
"SERO PRETO S.N.","SERO PRETO S.N."
"SERO TIJSHI","SERO TIJSHI"
"SEROE ALEJANDRO","SEROE ALEJANDRO"
"SEROE BENTANAWEG","SEROE BENTANAWEG"
"SEROE BIENTO","SEROE BIENTO"
"SEROE BLANCO","SEROE BLANCO"
"SEROE COLORADO","SEROE COLORADO"
"SEROE COLORADO TRAILER","SEROE COLORADO TRAILER"
"SEROE COMPA","SEROE COMPA"
"SEROE DAKWEWEG","SEROE DAKWEWEG"
"SEROE DOS POSWEG","SEROE DOS POSWEG"
"SEROE GRANDIWEG","SEROE GRANDIWEG"
"SEROE JANCHI","SEROE JANCHI"
"SEROE LARGOWEG","SEROE LARGOWEG"
"SEROE LOPES","SEROE LOPES"
"SEROE PATRISHI","SEROE PATRISHI"
"SEROE PELA","SEROE PELA"
"SEROE PITA","SEROE PITA"
"SEROE PRETO - PARADERA","SEROE PRETO - PARADERA"
"SEROE PRETO ST NIC","SEROE PRETO ST NIC"
"SEROE TIJSJI","SEROE TIJSJI"
"SHABA","SHABA"
"SHAKESPEARESTRAAT","SHAKESPEARESTRAAT"
"SHETE","SHETE"
"SHIMARUCUSTRAAT","SHIMARUCUSTRAAT"
"SHIMARUKUSTRAAT","SHIMARUKUSTRAAT"
"SHIRIBANA","SHIRIBANA"
"SIBELIUSSTRAAT","SIBELIUSSTRAAT"
"SIMON PLATSSTRAAT","SIMON PLATSSTRAAT"
"SIOUXSTRAAT","SIOUXSTRAAT"
"SIRIBANA","SIRIBANA"
"SISALSTRAAT","SISALSTRAAT"
"SIVIDIVI","SIVIDIVI"
"SJABURURI","SJABURURI"
"SMITH BOULEVARD","SMITH BOULEVARD"
"SMITH BOULEVARD Z/N","SMITH BOULEVARD Z/N"
"SOCOTOROLAAN","SOCOTOROLAAN"
"SOCOTOROWIJK","SOCOTOROWIJK"
"SOLEDAD","SOLEDAD"
"SOLITO","SOLITO"
"SOLO","SOLO"
"SOMBRE","SOMBRE"
"SORSACASTRAAT","SORSACASTRAAT"
"SOUFRIERESTRAAT","SOUFRIERESTRAAT"
"SPAANS LAGOEN","SPAANS LAGOEN"
"SPAANS LAGOENWEG","SPAANS LAGOENWEG"
"SPECHTSTRAAT","SPECHTSTRAAT"
"SPINOZASTRAAT","SPINOZASTRAAT"
"SPORTPARKSTRAAT","SPORTPARKSTRAAT"
"ST CATHERINESTRAAT","ST CATHERINESTRAAT"
"ST MAARTENSTRAAT","ST MAARTENSTRAAT"
"ST VINCENTWEG","ST VINCENTWEG"
"ST. ANTONIEBERGWEG","ST. ANTONIEBERGWEG"
"ST. CATHERINESTRAAT","ST. CATHERINESTRAAT"
"ST. CHRISTOFFELBERGWEG","ST. CHRISTOFFELBERGWEG"
"ST. PETER HILLWEG","ST. PETER HILLWEG"
"ST. THERESIAPLEIN","ST. THERESIAPLEIN"
"ST. VINCENTWEG","ST. VINCENTWEG"
"STA CRUZ","STA CRUZ"
"STA HELENASTRAAT","STA HELENASTRAAT"
"STA LUCIA","STA LUCIA"
"STA MARTA","STA MARTA"
"STA MARTA Z/N","STA MARTA Z/N"
"STADHOUDERSTRAAT","STADHOUDERSTRAAT"
"STADIONPLEIN","STADIONPLEIN"
"STADIONWEG","STADIONWEG"
"STAMPERSTRAAT","STAMPERSTRAAT"
"STANDARD VILLE","STANDARD VILLE"
"STANDARDVILLE","STANDARDVILLE"
"STARINGSTRAAT","STARINGSTRAAT"
"STEENWEG","STEENWEG"
"STREA","STREA"
"STUYVESANTSTRAAT","STUYVESANTSTRAAT"
"SUCUCHI","SUCUCHI"
"SWEELINCKSTRAAT","SWEELINCKSTRAAT"
"SYLVIA A GODETT STRAAT","SYLVIA A GODETT STRAAT"
"TAFELBERGWEG","TAFELBERGWEG"
"TAMARIJN","TAMARIJN"
"TAMARIJNSTRAAT","TAMARIJNSTRAAT"
"TAMBORSTRAAT","TAMBORSTRAAT"
"TANGERINASTRAAT","TANGERINASTRAAT"
"TANKI FLIP","TANKI FLIP"
"TANKI LEENDERT","TANKI LEENDERT"
"TARABANA","TARABANA"
"TARABANAWEG","TARABANAWEG"
"TEBENKI","TEBENKI"
"THEATERSTRAAT","THEATERSTRAAT"
"TIBUSHI","TIBUSHI"
"TIMBALSTRAAT","TIMBALSTRAAT"
"TIMONSTRAAT","TIMONSTRAAT"
"TOBELSTRAAT","TOBELSTRAAT"
"TOMATENSTRAAT","TOMATENSTRAAT"
"TOPAZ","TOPAZ"
"TORRICELLISTRAAT","TORRICELLISTRAAT"
"TOTOLICASTRAAT","TOTOLICASTRAAT"
"TRIANGELSTRAAT","TRIANGELSTRAAT"
"TRIANGOSTRAAT","TRIANGOSTRAAT"
"TRINITARIASTRAAT","TRINITARIASTRAAT"
"TROMPSTRAAT","TROMPSTRAAT"
"TRUPIAALSTRAAT","TRUPIAALSTRAAT"
"TULPENSTRAAT","TULPENSTRAAT"
"TUMBA","TUMBA"
"TUNASTRAAT","TUNASTRAAT"
"TURIBANA","TURIBANA"
"URATAKA","URATAKA"
"URUGUAYSTRAAT","URUGUAYSTRAAT"
"V RENSELAERSTRAAT","V RENSELAERSTRAAT"
"V SLOBBESTRAAT","V SLOBBESTRAAT"
"V SPEYKSTRAAT","V SPEYKSTRAAT"
"V/D VEEN ZEPPENFELDSTR","V/D VEEN ZEPPENFELDSTR"
"VAN DEN BOSSCHESTRAAT","VAN DEN BOSSCHESTRAAT"
"VAN DER LINDENSTRAAT","VAN DER LINDENSTRAAT"
"VAN DEVENTERSTRAAT","VAN DEVENTERSTRAAT"
"VAN DRAGTSTRAAT","VAN DRAGTSTRAAT"
"VAN EEKHOUTSTRAAT","VAN EEKHOUTSTRAAT"
"VAN GALENSTRAAT","VAN GALENSTRAAT"
"VAN LEEUWENHOEKSTRAAT","VAN LEEUWENHOEKSTRAAT"
"VAN LENNEPSTRAAT","VAN LENNEPSTRAAT"
"VAN RENSELAERSTRAAT","VAN RENSELAERSTRAAT"
"VAN SPEYKSTRAAT","VAN SPEYKSTRAAT"
"VAN WALBEECKSTRAAT","VAN WALBEECKSTRAAT"
"VENEZUELASTRAAT","VENEZUELASTRAAT"
"VENUSSTRAAT","VENUSSTRAAT"
"VERANO","VERANO"
"VERBINDINGSWEG","VERBINDINGSWEG"
"VERRIETSTRAAT","VERRIETSTRAAT"
"VETER","VETER"
"VICTOR HUGOSTRAAT","VICTOR HUGOSTRAAT"
"VIGIA","VIGIA"
"VILLAGE NOORD","VILLAGE NOORD"
"VILLAGE ZUID","VILLAGE ZUID"
"VISSTRAAT","VISSTRAAT"
"VONDELLAAN","VONDELLAAN"
"VORSTSTRAAT","VORSTSTRAAT"
"VROLIJKSTRAAT","VROLIJKSTRAAT"
"VUYLSTEKESTRAAT","VUYLSTEKESTRAAT"
"WABISTRAAT","WABISTRAAT"
"WALISHALI","WALISHALI"
"WARAWARA","WARAWARA"
"WASHINGTON","WASHINGTON"
"WATAPANA GEZAAG","WATAPANA GEZAAG"
"WATAPANASTRAAT","WATAPANASTRAAT"
"WATTSTRAAT","WATTSTRAAT"
"WAYACA","WAYACA"
"WAYAKA","WAYAKA"
"WEG FONTEIN","WEG FONTEIN"
"WEG KUSTBATTERIJ","WEG KUSTBATTERIJ"
"WEG ROOI CONGO","WEG ROOI CONGO"
"WEG ROOI HUNDO","WEG ROOI HUNDO"
"WEG SERO BLANCO","WEG SERO BLANCO"
"WEG SERO PRETO","WEG SERO PRETO"
"WEG SEROE BLANCO","WEG SEROE BLANCO"
"WEG SEROE PRETO","WEG SEROE PRETO"
"WERNETSTRAAT","WERNETSTRAAT"
"WESTPUNT","WESTPUNT"
"WESTSTRAAT","WESTSTRAAT"
"WEVERSTRAAT","WEVERSTRAAT"
"WILHELMINASTRAAT","WILHELMINASTRAAT"
"WILLEM DE ZWIJGERSTRAA","WILLEM DE ZWIJGERSTRAA"
"WILLEM DE ZWIJGERSTRAAT","WILLEM DE ZWIJGERSTRAAT"
"WILLEMSTRAAT","WILLEMSTRAAT"
"WILLIAMSSTRAAT","WILLIAMSSTRAAT"
"WINDSTRAAT","WINDSTRAAT"
"WOLFFSTRAAT","WOLFFSTRAAT"
"YANANA","YANANA"
"YOLASTRAAT","YOLASTRAAT"
"ZEEWIJK","ZEEWIJK"
"ZEPP LAMPESTRAAT","ZEPP LAMPESTRAAT"
"ZONDER WOON/VERBL.PLAATS","ZONDER WOON/VERBL.PLAATS"
"ZONDER WOON/VERBL.PLAATS 0","ZONDER WOON/VERBL.PLAATS 0"
"ZOUTMANSTRAAT","ZOUTMANSTRAAT"
"ZUIDSTRAAT","ZUIDSTRAAT"
"ZUMBO","ZUMBO"
"ZUSTER CANDIDASTRAAT","ZUSTER CANDIDASTRAAT"
"ZUSTER CHERUBINESTRAAT","ZUSTER CHERUBINESTRAAT"
"ZUSTER LIDWINASTRAAT","ZUSTER LIDWINASTRAAT"
"ZWOLLESTRAAT","ZWOLLESTRAAT"
